Year,Word,Weight
1965,look,0.03138543559515595
1965,youll,0.03138543559515595
1965,ferry,0.03181957491714994
1965,mersey,0.03181957491714994
1965,jerk,0.032097809135148064
1965,ticket,0.032564622327102576
1965,waiting,0.03287998014730623
1965,care,0.03287998014730623
1965,hear,0.03437452469945652
1965,fy,0.03454757589011943
1965,fee,0.03454757589011943
1965,hush,0.034556655711854234
1965,unusual,0.034961343633451714
1965,think,0.0358690692516068
1965,kiss,0.0358690692516068
1965,hes,0.0358690692516068
1965,mind,0.0358690692516068
1965,heartbeat,0.03696077953825719
1965,bees,0.03704403873659065
1965,run,0.037363613803757086
1965,new,0.037363613803757086
1965,count,0.037633808080288586
1965,bonana,0.038183489900579924
1965,fanna,0.038183489900579924
1965,orchid,0.038183489900579924
1965,ready,0.038740126676235
1965,thats,0.03885815835590737
1965,need,0.03885815835590737
1965,life,0.03885815835590737
1965,believe,0.03885815835590737
1965,world,0.040352702908057654
1965,gonna,0.040352702908057654
1965,true,0.040352702908057654
1965,downtown,0.041425615965906624
1965,things,0.04184724746020793
1965,yes,0.04184724746020793
1965,right,0.04184724746020793
1965,thing,0.043341792012358216
1965,gotta,0.043341792012358216
1965,slaving,0.04454740488400991
1965,ah,0.0448363365645085
1965,long,0.0448363365645085
1965,away,0.0448363365645085
1965,whoaoh,0.04491604913729619
1965,good,0.046330881116658784
1965,night,0.046330881116658784
1965,way,0.04931997022095935
1965,man,0.04931997022095935
1965,la,0.049701172970399006
1965,shake,0.050667376047521744
1965,said,0.05230905932525992
1965,feel,0.05230905932525992
1965,oo,0.05282291967000304
1965,babe,0.05332480113034204
1965,id,0.05529814842956048
1965,theres,0.05679269298171077
1965,charlotte,0.05757929315019905
1965,make,0.059781782086011336
1965,shes,0.059781782086011336
1965,little,0.059781782086011336
1965,sweet,0.059781782086011336
1965,cause,0.06127632663816162
1965,hold,0.0627708711903119
1965,boondocks,0.06363914983429989
1965,gone,0.06426541574246218
1965,hey,0.06426541574246218
1965,place,0.06426541574246218
1965,day,0.06426541574246218
1965,heart,0.06575996029461247
1965,ive,0.06725450484676275
1965,mover,0.06909515178023885
1965,aint,0.07024359395106332
1965,girl,0.0717381385032136
1965,youre,0.07622177215966446
1965,bully,0.08490612025266846
1965,tell,0.089672673129017
1965,doggone,0.08983209827459238
1965,let,0.09415630678546785
1965,mia,0.09432370318832199
1965,sloopy,0.09545872475144981
1965,say,0.0986399404419187
1965,want,0.10162902954621927
1965,oh,0.10312357409836956
1965,like,0.10461811865051984
1965,time,0.1076072077548204
1965,wooly,0.11455046970173978
1965,yeah,0.11507993051557182
1965,ill,0.11507993051557182
1965,pussycat,0.1151585863003981
1965,cara,0.13364221465202974
1965,just,0.14198173245427692
1965,come,0.14795991066287806
1965,got,0.14945445521502834
1965,help,0.1569272718978637
1965,im,0.1703780789451323
1965,know,0.20176351454028826
1965,baby,0.24809439565694705
1965,dont,0.25556711841769847
1965,rhonda,0.29365439506601515
1965,love,0.3960543063198251
1966,na,0.03726183842477869
1966,farewell,0.03843606544782288
1966,think,0.03846928951318943
1966,aint,0.03846928951318943
1966,evrything,0.039870788669736805
1966,comes,0.040141867318110716
1966,live,0.040141867318110716
1966,woman,0.04092134554415817
1966,cherish,0.041271072584269375
1966,walk,0.04181444512303199
1966,said,0.04181444512303199
1966,theres,0.04181444512303199
1966,beautys,0.042275865843734564
1966,fought,0.04251084713495968
1966,guajira,0.04273198656424122
1966,homeward,0.04273198656424122
1966,comeon,0.04273198656424122
1966,thats,0.04348702292795327
1966,nananana,0.044715441757752675
1966,life,0.045159600732874554
1966,dandy,0.045239888022968
1966,uptight,0.04606311289975098
1966,ba,0.04640773962031074
1966,pea,0.04770124136766835
1966,working,0.04786002898097458
1966,stone,0.04804014832004731
1966,sweet,0.048504756342717115
1966,theyll,0.0487997189787583
1966,byebye,0.05026654224774222
1966,ann,0.05030487197747176
1966,puppet,0.05066942418972607
1966,shes,0.05184991195255967
1966,heart,0.05184991195255967
1966,wanna,0.05184991195255967
1966,stop,0.05184991195255967
1966,want,0.05352248975748095
1966,whoop,0.05527573547970117
1966,little,0.05686764536732351
1966,dm,0.056975982085654964
1966,clarksville,0.056975982085654964
1966,babe,0.057971906187557404
1966,agent,0.057994432381936335
1966,barbara,0.057994432381936335
1966,day,0.05854022317224479
1966,world,0.05854022317224479
1966,lovin,0.05909803497397784
1966,cause,0.06021280097716607
1966,right,0.06021280097716607
1966,ive,0.06021280097716607
1966,feel,0.06188537878208735
1966,man,0.06355795658700863
1966,mind,0.06355795658700863
1966,striking,0.06409797984636184
1966,yellow,0.06434715613045446
1966,hanky,0.06443825820215147
1966,panky,0.06443825820215147
1966,law,0.06499125708666162
1966,jerk,0.06785147073510489
1966,make,0.06857569000177247
1966,bang,0.06954048213559128
1966,say,0.07024826780669374
1966,let,0.07024826780669374
1966,guantanamera,0.0712199776070687
1966,yeah,0.07192084561161503
1966,need,0.07192084561161503
1966,gonna,0.07359342341653631
1966,night,0.07526600122145759
1966,vibrations,0.07685300129936345
1966,away,0.07693857902637886
1966,wont,0.07861115683130014
1966,home,0.08028373463622143
1966,long,0.08530146805098526
1966,wait,0.08530146805098526
1966,oom,0.09665738730322722
1966,way,0.09700951268543423
1966,like,0.09700951268543423
1966,ill,0.0986820904903555
1966,time,0.10035466829527678
1966,got,0.10035466829527678
1966,paperback,0.10060974395494351
1966,hooray,0.10136513790629524
1966,excitations,0.10310121312344236
1966,come,0.10369982390511934
1966,monday,0.11447607640778501
1966,hazel,0.11737803461410076
