Year,Word,Count,Count_unique
1965,day,43,22
1965,joy,2,2
1965,tears,10,5
1965,pray,3,2
1965,simple,1,1
1965,burdens,1,1
1965,lordjust,1,1
1965,lighter,1,1
1965,meaning,9,3
1965,accord,2,1
1965,sing,5,4
1965,gain,1,1
1965,live,6,6
1965,surely,2,1
1965,chapel,5,1
1965,lordyoull,1,1
1965,plain,5,3
1965,shed,1,1
1965,bumble,1,1
1965,mindtake,1,1
1965,dayi,3,3
1965,gather,1,1
1965,lord,10,4
1965,yes,28,9
1965,prayed,1,1
1965,grow,3,3
1965,couldnt,5,5
1965,praise,1,1
1965,search,3,2
1965,contentment,1,1
1965,stronger,1,1
1965,earth,2,1
1965,people,14,8
1965,claim,3,2
1965,guess,8,5
1965,talk,7,6
1965,riches,1,1
1965,month,3,2
1965,money,3,3
1965,make,40,23
1965,cloudy,2,1
1965,fortune,2,2
1965,sweeter,1,1
1965,even,10,7
1965,bout,13,3
1965,talkin,5,1
1965,cold,4,4
1965,say,66,30
1965,envy,1,1
1965,birds,9,3
1965,moth,1,1
1965,outside,2,2
1965,trees,8,3
1965,fame,1,1
1965,song,20,4
1965,sunshine,3,2
1965,well,64,22
1965,bees,9,2
1965,fine,14,8
1965,lay,1,1
1965,since,15,6
1965,plan,1,1
1965,late,4,4
1965,ruined,1,1
1965,mornin,2,2
1965,wouldnt,20,3
1965,rhonda,51,1
1965,bed,3,2
1965,give,19,9
1965,another,12,6
1965,gotta,29,10
1965,caught,3,2
1965,us,24,6
1965,doin,1,1
1965,head,2,2
1965,reasons,1,1
1965,wife,1,1
1965,guy,9,5
1965,lotsa,1,1
1965,maine,1,1
1965,engineer,1,1
1965,buys,2,1
1965,destination,1,1
1965,roadthird,1,1
1965,roadi,1,1
1965,trailers,1,1
1965,smoke,1,1
1965,broom,2,1
1965,pushin,2,1
1965,worn,1,1
1965,children,2,2
1965,king,4,2
1965,short,1,1
1965,rent,3,2
1965,trailer,1,1
1965,ones,5,3
1965,cents,2,1
1965,midnight,2,2
1965,dues,1,1
1965,handout,1,1
1965,cigarettes,2,1
1965,ah,30,7
1965,pay,7,7
1965,boxcar,1,1
1965,rooms,2,1
1965,means,6,1
1965,clothes,2,2
1965,locked,1,1
1965,aroundi,1,1
1965,twelve,2,1
1965,room,2,1
1965,lock,3,3
1965,shoes,3,3
1965,fifty,2,1
1965,union,1,1
1965,stogies,1,1
1965,sale,2,1
1965,phone,2,1
1965,train,4,2
1965,road,1,1
1965,pets,2,1
1965,hours,3,2
1965,aint,47,16
1965,names,1,1
1965,pool,2,1
1965,bangor,1,1
1965,town,15,10
1965,old,20,10
1965,fourbit,2,1
1965,eight,12,2
1965,sky,6,5
1965,called,3,1
1965,stars,10,5
1965,brown,6,2
1965,ya,6,2
1965,facts,2,1
1965,z,2,1
1965,moon,5,3
1965,flowers,12,6
1965,could,32,13
1965,learned,4,2
1965,new,25,9
1965,thrill,8,2
1965,lane,1,1
1965,dark,3,3
1965,drive,2,2
1965,shadows,3,3
1965,sensible,1,1
1965,stood,2,2
1965,lovers,2,2
1965,adieu,2,1
1965,last,23,9
1965,ever,19,11
1965,fooled,1,1
1965,slowly,3,2
1965,miss,9,2
1965,fade,4,4
1965,hold,42,15
1965,hiding,1,1
1965,thinking,3,3
1965,heels,2,2
1965,hey,43,7
1965,red,14,6
1965,Ì,6,1
1965,timeÌ,3,1
1965,dig,5,3
1965,dress,1,1
1965,shotgun,4,1
1965,tomatoes,1,1
1965,pick,7,4
1965,nowÌ,1,1
1965,goin,6,4
1965,jerk,9,3
1965,buy,2,2
1965,break,14,6
1965,load,1,1
1965,play,17,9
1965,potatoes,3,3
1965,twine,3,1
1965,heyÌ,2,1
1965,high,4,3
1965,runs,4,1
1965,shoot,4,1
1965,mountain,3,3
1965,earned,2,2
1965,pot,2,2
1965,climb,3,3
1965,spring,3,2
1965,ring,12,4
1965,hill,2,2
1965,long,30,13
1965,scared,1,1
1965,wear,6,5
1965,care,22,10
1965,wrong,6,6
1965,hairs,1,1
1965,least,1,1
1965,moneys,1,1
1965,sad,8,5
1965,true,27,13
1965,goodnight,2,2
1965,young,4,3
1965,spent,2,2
1965,babe,35,6
1965,tight,7,5
1965,clown,3,3
1965,stone,2,2
1965,coming,3,2
1965,doesnt,8,3
1965,took,6,4
1965,shine,6,3
1965,whose,3,2
1965,babys,1,1
1965,truer,1,1
1965,genuine,1,1
1965,diamond,11,3
1965,beautiful,3,2
1965,dreams,4,2
1965,wants,12,7
1965,pinewalkin,1,1
1965,daughter,6,3
1965,somethin,1,1
1965,finds,4,2
1965,shes,40,12
1965,enough,10,4
1965,keep,15,7
1965,lovely,6,3
1965,pinemrs,1,1
1965,mrs,3,1
1965,broke,4,2
1965,sharp,2,2
1965,callwalkin,1,1
1965,return,2,2
1965,made,7,5
1965,bought,2,2
1965,girls,15,5
1965,proudif,2,1
1965,bloke,2,1
1965,crowd,2,1
1965,pineshe,1,1
1965,rare,1,1
1965,clear,2,1
1965,good,31,13
1965,aware,1,1
1965,losing,2,2
1965,heartbaby,1,1
1965,foreverstop,1,1
1965,street,6,5
1965,sweet,40,11
1965,door,10,8
1965,havent,2,1
1965,think,24,8
1965,secluded,1,1
1965,hoping,1,1
1965,youstop,2,1
1965,charms,1,1
1965,worth,1,1
1965,seen,5,5
1965,rush,2,2
1965,watch,2,2
1965,known,1,1
1965,patient,1,1
1965,knowing,2,2
1965,nights,7,4
1965,twice,9,4
1965,afraid,1,1
1965,expression,1,1
1965,run,25,11
1965,youd,6,4
1965,leave,10,7
1965,together,5,4
1965,overive,2,1
1965,stop,20,5
1965,affection,1,1
1965,infatuation,1,1
1965,hurt,11,5
1965,probably,1,1
1965,meoh,1,1
1965,darling,10,4
1965,sigh,3,2
1965,dayall,1,1
1965,gaze,2,1
1965,still,9,6
1965,goes,5,4
1965,byamandah,1,1
1965,mostrecorded,1,1
1965,songs,1,1
1965,rivers,10,4
1965,speed,3,2
1965,version,2,2
1965,20th,1,1
1965,dawn,1,1
1965,god,2,1
1965,brothers,1,1
1965,hungered,2,1
1965,mountains,3,3
1965,become,3,2
1965,open,2,2
1965,sea,4,2
1965,1955,1,1
1965,written,1,1
1965,flow,1,1
1965,editor,1,1
1965,melody,2,2
1965,righteous,1,1
1965,dreaming,1,1
1965,centurythe,1,1
1965,remaining,1,1
1965,unchained,1,1
1965,touch,5,3
1965,pulled,2,2
1965,dim,1,1
1965,cast,5,3
1965,rang,1,1
1965,bell,1,1
1965,blockrushed,1,1
1965,wings,1,1
1965,beat,5,5
1965,slaycrewetook,1,1
1965,waist,1,1
1965,within,2,2
1965,drawn,1,1
1965,wondered,1,1
1965,couple,1,1
1965,strangers,1,1
1965,shades,1,1
